protocol,auth_mode,network_profile,sig_alg,kem,kem_class,role,n_blocks_cpu,cpu_ms_per_handshake_mean,cpu_ms_ci95,cpu_ms_ci95_method,n_blocks_mem,mem_peak_MiB_mean,mem_MiB_ci95,mem_MiB_ci95_method
quic,single,simple_loss1.3_delay62.51ms,mldsa65,x448_mlkem768,hybride,server,4,499.1,"[485.033, 514.602]",bootstrap_blocs,4,9.862,"[9.752, 10.024]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,mldsa87,P-521,classique,client,4,32.626,"[24.519, 40.733]",bootstrap_blocs,4,5.381,"[5.246, 5.537]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,mldsa87,P-521,classique,server,4,518.381,"[488.024, 540.836]",bootstrap_blocs,4,9.904,"[9.729, 10.008]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,mldsa87,hqc256,pq_pur,client,4,89.874,"[70.611, 109.138]",bootstrap_blocs,4,5.38,"[5.253, 5.506]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,mldsa87,hqc256,pq_pur,server,4,1000.464,"[965.810, 1035.119]",bootstrap_blocs,4,11.396,"[11.336, 11.470]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,mldsa87,mlkem1024,pq_pur,client,4,30.495,"[23.691, 37.299]",bootstrap_blocs,4,5.39,"[5.241, 5.586]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,mldsa87,mlkem1024,pq_pur,server,4,507.326,"[487.102, 520.940]",bootstrap_blocs,4,10.196,"[10.094, 10.299]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,mldsa87,p521_hqc256,hybride,client,4,100.921,"[77.924, 123.917]",bootstrap_blocs,4,5.878,"[5.734, 6.021]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,mldsa87,p521_hqc256,hybride,server,4,1017.273,"[971.353, 1063.193]",bootstrap_blocs,4,12.488,"[12.209, 12.768]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,mldsa87,p521_mlkem1024,hybride,client,4,43.118,"[31.306, 55.580]",bootstrap_blocs,4,5.751,"[5.621, 5.869]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,mldsa87,p521_mlkem1024,hybride,server,4,549.541,"[494.545, 602.012]",bootstrap_blocs,4,10.764,"[10.609, 10.918]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,secp384r1,P-384,classique,client,4,32.868,"[25.843, 39.893]",bootstrap_blocs,4,5.42,"[5.297, 5.562]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,secp384r1,P-384,classique,server,4,360.424,"[343.094, 377.754]",bootstrap_blocs,4,8.953,"[8.916, 8.977]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,secp384r1,hqc192,pq_pur,client,4,68.003,"[49.846, 86.161]",bootstrap_blocs,4,5.218,"[5.092, 5.348]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,secp384r1,hqc192,pq_pur,server,4,461.848,"[434.155, 491.274]",bootstrap_blocs,4,9.931,"[9.773, 10.198]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,secp384r1,mlkem768,pq_pur,client,4,29.955,"[24.271, 35.638]",bootstrap_blocs,4,5.353,"[5.256, 5.485]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,secp384r1,mlkem768,pq_pur,server,4,362.843,"[345.697, 379.465]",bootstrap_blocs,4,9.303,"[9.262, 9.334]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,secp384r1,p384_hqc192,hybride,client,4,71.667,"[57.341, 85.993]",bootstrap_blocs,4,5.821,"[5.670, 6.005]",bootstrap_blocs
