procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 10463376 301536 7282180    0    0     0   292 12444 26935 44 14 40  2  0  0
 5  1      0 10470188 301536 7282200    0    0     0     4 9809 16991 42 13 44  1  0  0
 5  1      0 10473880 301536 7282132    0    0     0  1168 15557 30089 51 15 33  2  0  0
 2  1      0 10458476 301552 7282100    0    0     0   748 10630 18278 32 10 49  9  0  0
 3  1      0 10479004 301556 7282040    0    0     0  1640 9477 11652 25  7 57 11  0  0
 2  2      0 10487564 301560 7281948    0    0     0  1356 5783 8763 17  3 63 18  0  0
 1  1      0 10466208 301568 7286064    0    0     0   316 18252 30589 21  8 66  5  0  0
 1  1      0 10476888 301584 7286020    0    0     0   956 6301 15716 15  2 71 12  0  0
 1  1      0 10491888 301616 7285952    0    0     0   852 4733 6018 13  2 74 12  0  0
 1  1      0 10512244 301628 7281784    0    0     0   880 10572 19736 22  3 66 10  0  0
 1  1      0 10518168 301652 7281732    0    0     0   800 9618 14870 14  2 73 12  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  1      0 10555124 301684 7281668    0    0     0   880 16345 19177 18  4 67 10  0  0
 1  1      0 10560376 301712 7281604    0    0     0   912 13745 8767 15  2 71 11  0  0
 1  1      0 10544144 301732 7281592    0    0     0   868 19418 22032 22  3 65 10  0  0
 2  1      0 10546104 301744 7281544    0    0     0   696 6422 12995 14  2 73 12  0  0
 1  1      0 10552644 301752 7281400    0    0     0   636 3954 5129 14  1 69 16  0  0
 1  1      0 10568584 301760 7281376    0    0     0   604 7043 15595 15  2 72 12  0  0
 1  1      0 10561692 301764 7281336    0    0     0   500 10416 5926 14  1 73 12  0  0
 1  1      0 10541488 301768 7281292    0    0     0   528 18196 20831 21  3 65 10  0  0
 1  1      0 10549624 301792 7281220    0    0     0   988 15098 15894 15  2 72 11  0  0
 1  1      0 10559564 301800 7281184    0    0     0   652 14427 16946 16  2 71 11  0  0
 1  1      0 10550596 301800 7281176    0    0     0   636 12235 6993 14  2 73 12  0  0
 1  1      0 10542252 301808 7281132    0    0     0   612 17705 21023 22  3 64 11  0  0
 1  1      0 10545552 301836 7281120    0    0     0   504 12577 12997 14  2 67 18  0  0
 1  1      0 10548112 301848 7281072    0    0     0   800 14116 16548 15  2 71 12  0  0
 1  1      0 10557576 301884 7280952    0    0     0  1136 12642 7430 14  2 70 14  0  0
