procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
18  8      0 15359424 256480 5679612    0    0     0  1700 10936 11297 90 10  0  0  0  0
31  0      0 15357080 256488 5679640    0    0     0   360 13566 18761 90 10  0  0  0  0
15  1      0 15352836 256516 5679668    0    0     0  1448 11893 13611 90 10  0  0  0  0
14  1      0 15346712 256516 5679784    0    0     0   168 13193 18189 89 11  0  0  0  0
12  1      0 15358024 256536 5679832    0    0     0   820 11685 12980 90 10  0  0  0  0
25  8      0 15358300 256536 5679844    0    0     0  2180 11662 14188 89 11  0  0  0  0
24  5      0 15345240 256540 5679872    0    0     0   520 12014 15411 90 10  0  0  0  0
15  2      0 15377220 256560 5679780    0    0     0   860 13331 17752 89 11  0  0  0  0
13  5      0 15365364 256572 5679840    0    0     0  2112 12792 16032 88 12  0  0  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
14  3      0 15361732 256580 5679876    0    0     0  1500 11359 12382 90 10  0  0  0  0
14  1      0 15355788 256592 5679848    0    0     0   836 13039 17858 90 10  0  0  0  0
15  1      0 15351428 256600 5679892    0    0     0  1472 11029 11003 90  9  0  0  0  0
15  1      0 15369164 256612 5679912    0    0     0  1432 12144 14767 89 11  0  0  0  0
18  1      0 15346760 256632 5680024    0    0     0   616 15301 22871 88 12  0  0  0  0
21  3      0 15351004 256656 5680072    0    0     0  1812 12881 16690 88 12  0  0  0  0
11  1      0 15363828 256660 5680096    0    0     0   248 11846 14447 91  9  0  0  0  0
18  2      0 15350892 256668 5680116    0    0     0  1180 11013 11480 90 10  0  0  0  0
17  1      0 15342408 256684 5680160    0    0     0   528 14695 22077 89 11  0  0  0  0
14  2      0 15331704 256708 5680272    0    0     0  2140 13346 18326 88 11  0  0  0  0
17  2      0 15344348 256712 5680176    0    0     0   324 12991 17334 90 10  0  0  0  0
32  4      0 15347068 256712 5680208    0    0     0  2136 12216 15169 87 13  0  0  0  0
16  3      0 15353020 256736 5680224    0    0     0  1160 10908 11244 91  9  0  0  0  0
14  4      0 15366492 256760 5680268    0    0     0  1480 11175 11805 90 11  0  0  0  0
23  0      0 15375096 256776 5680376    0    0     0   524 12465 15188 89 11  0  0  0  0
13  6      0 15367812 256796 5680412    0    0     0  2140 12022 13726 90 10  0  0  0  0
21  1      0 15363060 256800 5680432    0    0     0   352 12447 16923 90 10  0  0  0  0
