procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 8  0      0 12787376 238380 5997036    0    0     0   636 11191 24564 14  7 49 30  0  0
14  1      0 12773272 238396 5997216    0    0     0  1116 9973 20941 15 12 63  9  0  0
 2  9      0 12762928 238420 5997616    0    0     0  2072 10429 18108 13  9 65 13  0  0
 0  2      0 12735180 238436 5986328    0    0   297  5120 9364 20759 13  6 58 22  0  0
 0  4      0 12750428 238452 5993024    0    0     0  7068 6412 7228  9  7 65 19  0  0
 2  1      0 12763144 238472 5997404    0    0     0  6204 6368 6796  9  7 55 29  0  0
 1  1      0 12765600 238492 5982128    0    0     0   864 14059 34771 16  9 64 10  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  1      0 12765588 238512 5982192    0    0     0  1996 9534 22250 16  9 54 21  0  0
 1  1      0 12779800 238540 5978064    0    0     0  1404 9319 21633 10  9 68 14  0  0
 2  1      0 12776260 238560 5978376    0    0     0   748 10583 17834 11 10 70  9  0  0
 0  1      0 12780068 238592 5978456    0    0     0  1744 10691 24418 17 10 59 13  0  0
 0  1      0 12777888 238620 5982584    0    0     0  1216 10879 25412 17 10 63 10  0  0
 1  1      0 12761912 238640 5983008    0    0     0  1532 12294 31001 13  9 69  8  0  0
 1  1      0 12762168 238652 5983060    0    0     0  1020 5577 5682  6  6 53 34  0  0
 2  0      0 12758316 238688 5987232    0    0     0  1144 6338 7256  9  8 68 14  0  0
 7  2      0 12763936 238720 5987740    0    0     0  1512 10638 17663 12  9 69 10  0  0
 0  1      0 12765584 238724 5987816    0    0     0  1124 10778 26090 14  7 58 21  0  0
 4  3      0 12742852 238736 5994372    0    0     0  5200 9234 20574 13  9 59 19  0  0
 1  4      0 12747996 238748 5974328    0    0     0  2740 10473 25025 15  8 41 35  0  0
 1  1      0 12744388 238768 5978628    0    0     0  4664 5979 6023  7  6 59 28  0  0
 2  2      0 12703600 238804 5996172    0    0     0 11568 14486 32620 22 11 51 15  0  0
 3  2      0 12720568 238840 5972776    0    0     0  2832 11114 26911 12  9 61 18  0  0
 1  2      0 12740476 238856 5977304    0    0     0  5184 9514 23208 11  8 62 19  0  0
 1  2      0 12732460 238888 5981584    0    0     0  5720 6873 7380 10  7 57 26  0  0
12  2      0 12721272 238924 5990572    0    0     0  9600 8465 11533 13  8 62 17  0  0
 1  1      0 12761352 238960 5973280    0    0     0  4716 14295 31111 22 12 52 13  0  0
 1  1      0 12750496 238988 5973428    0    0     0  2140 10061 20751 28 10 46 16  0  0
 1  1      0 12760840 239020 5973424    0    0     0   968 9951 22665 12 10 68 11  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  1      0 12748496 239032 5977800    0    0     0   712 10526 17745 12 11 67  9  0  0
 1  1      0 12729504 239056 5977968    0    0     0  1920 13467 30909 17  9 55 20  0  0
 1  1      0 12714824 239084 5982244    0    0     0  1148 9833 21854 11 10 70 10  0  0
 8 17      0 12709388 239116 5982732    0    0     0  1472 12470 32623 12 10 70  9  0  0
 1  1      0 12732488 239132 5982512    0    0     0  1336 6462 5907  7  7 57 29  0  0
 0  1      0 12719000 239164 5982860    0    0     0  1200 7086 7430 10  8 71 11  0  0
 8  7      0 12704420 239200 5983336    0    0     0  2284 12582 24158 16 11 64  9  0  0
 1  1      0 12696892 239208 5983416    0    0     0   468 10106 20255 13  7 49 32  0  0
 3  0      0 12689180 239240 5983776    0    0     0  1224 10535 24034 13 11 67  9  0  0
